codigo,nombre,uuid,created_at,updated_at
100000,RECTORADO,5d33eed6-38ae-47a7-b091-c49a8db43e78,2024-01-19 11:59:05.865058+00,2024-01-19 11:59:05.865058+00
103000,DIR. DE COOP. Y RELC. INTERINS,9d385306-bb9c-4df2-a19d-55fe3d7f30c7,2024-01-19 11:59:05.865058+00,2024-01-19 11:59:05.865058+00
110000,DIR. DE INFORMATICA,09b96de5-125b-4f7e-8258-dacf6c957705,2024-01-19 11:59:05.865058+00,2024-01-19 11:59:05.865058+00
111000,COORD.DES.MANT.SISTEMAS,e3d9c5a8-d594-46b0-a471-afd694ac207a,2024-01-19 11:59:05.865058+00,2024-01-19 11:59:05.865058+00
112000,COORD.SOPORTE TECNICO,0f5a74f1-ba37-443a-b6a3-54f660f6fe9a,2024-01-19 11:59:05.865058+00,2024-01-19 11:59:05.865058+00
120000,DIREC.RELAC.PUBLICAS,3b50ea38-f83c-4c57-ad9a-d4e99e8f8b9c,2024-01-19 11:59:05.865058+00,2024-01-19 11:59:05.865058+00
140000,DIRECCION DE PLANIFICACION,e8a9841c-5d11-4cb4-8f59-55f58fb9229e,2024-01-19 11:59:05.865058+00,2024-01-19 11:59:05.865058+00
140100,DEPTO FORMULAC.PRESUPUESTARIA,66df2ee5-402b-430e-98e7-275ae7b8f450,2024-01-19 11:59:05.865058+00,2024-01-19 11:59:05.865058+00
141000,COORD.PLANIF.INSTITUCIONAL,e724fef8-b014-4678-8a30-0399709f1296,2024-01-19 11:59:05.865058+00,2024-01-19 11:59:05.865058+00
142000,COORD.PLANES OPERATIVOS,0058970b-1ddd-406d-a881-625b93df7503,2024-01-19 11:59:05.865058+00,2024-01-19 11:59:05.865058+00
143000,COORD.DE EVALUACION INSTITUC.,569d0d8d-7c79-4180-ade5-1cdd3c4493bd,2024-01-19 11:59:05.865058+00,2024-01-19 11:59:05.865058+00
144000,COORD.ORGANIZAC.METODOS,e3733e34-9880-4a48-8d64-682217eaa0f3,2024-01-19 11:59:05.865058+00,2024-01-19 11:59:05.865058+00
145000,COORD.PLANTA FISICA,69ee6ac0-96e8-4d85-a8bb-2e7f00172cca,2024-01-19 11:59:05.865058+00,2024-01-19 11:59:05.865058+00
150000,CONSULTORIA JURIDICA,898a7212-a17b-459f-9d40-c9a712db7f12,2024-01-19 11:59:05.865058+00,2024-01-19 11:59:05.865058+00
160000,DESARROLLO ESTUDIANTIL,57c0b6fe-b365-4369-8336-328fef2fb856,2024-01-19 11:59:05.865058+00,2024-01-19 11:59:05.865058+00
180000,DIR. DE AUDITORIA INTERNA,64c2eb54-d047-40c4-9915-be0ea4e49856,2024-01-19 11:59:05.865058+00,2024-01-19 11:59:05.865058+00
200000,VICE-RECTORADO ACADEMICO,1e55354c-0674-474e-a52b-6566d8837834,2024-01-19 11:59:05.865058+00,2024-01-19 11:59:05.865058+00
